target,model,feature,importance,importance_kind
degree_hours_below_comfort,gradient_boosting,window_wall_orientation_west,6.005391295765345e-05,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,orientation_cardinal_south,5.1663600196631934e-05,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,wall_material_brick_masonry,4.511363668817899e-05,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,window_wall_orientation_north,3.7154744181257785e-05,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,wall_material_earth_adobe,3.483566595521778e-05,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,wall_material_concrete,3.1738104262210593e-05,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,thermal_mass_material_water,2.0258988750650543e-05,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,orientation_cardinal_north,1.4761716143533011e-05,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,door_area_m2,0.0,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,height_m,0.0,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,width_m,0.0,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,window_u_value_w_m2k,0.0,tree_feature_importance
degree_hours_below_comfort,gradient_boosting,window_wall_orientation_south,0.0,tree_feature_importance
degree_hours_below_comfort,random_forest,mean_outdoor_temperature_c,0.2971047189829752,tree_feature_importance
degree_hours_below_comfort,random_forest,maximum_outdoor_temperature_c,0.1942045074637281,tree_feature_importance
degree_hours_below_comfort,random_forest,minimum_outdoor_temperature_c,0.16677381296040647,tree_feature_importance
degree_hours_below_comfort,random_forest,thermal_mass_heat_capacity_kj_k,0.12880870954820633,tree_feature_importance
degree_hours_below_comfort,random_forest,floor_insulation_thickness_m,0.06421285655442219,tree_feature_importance
degree_hours_below_comfort,random_forest,roof_insulation_thickness_m,0.04858449398026621,tree_feature_importance
degree_hours_below_comfort,random_forest,wall_insulation_thickness_m,0.04481613167091339,tree_feature_importance
degree_hours_below_comfort,random_forest,daily_solar_sum_wh_m2,0.02177054173136587,tree_feature_importance
degree_hours_below_comfort,random_forest,window_area_m2,0.007432131553293122,tree_feature_importance
degree_hours_below_comfort,random_forest,thermal_mass_material_stone,0.005177246757976059,tree_feature_importance
degree_hours_below_comfort,random_forest,window_solar_heat_gain_coefficient,0.003956709830833587,tree_feature_importance
degree_hours_below_comfort,random_forest,thermal_mass_material_none,0.0028282378759458067,tree_feature_importance
degree_hours_below_comfort,random_forest,wall_material_timber,0.0025412491102201526,tree_feature_importance
degree_hours_below_comfort,random_forest,net_wall_area_m2,0.002302868731471347,tree_feature_importance
degree_hours_below_comfort,random_forest,thermal_mass_material_water,0.001519663733406545,tree_feature_importance
degree_hours_below_comfort,random_forest,volume_m3,0.0012210041668004503,tree_feature_importance
degree_hours_below_comfort,random_forest,length_m,0.0011356841368667986,tree_feature_importance
degree_hours_below_comfort,random_forest,floor_area_m2,0.001107453166212182,tree_feature_importance
degree_hours_below_comfort,random_forest,orientation_cardinal_south,0.0006486301515768108,tree_feature_importance
degree_hours_below_comfort,random_forest,orientation_cardinal_north,0.0005643345774294325,tree_feature_importance
degree_hours_below_comfort,random_forest,wall_material_concrete,0.0005310265042855369,tree_feature_importance
degree_hours_below_comfort,random_forest,wall_material_earth_adobe,0.00039897393570054765,tree_feature_importance
degree_hours_below_comfort,random_forest,window_wall_orientation_east,0.00034286495500123664,tree_feature_importance
degree_hours_below_comfort,random_forest,orientation_cardinal_east,0.0003374689923346691,tree_feature_importance
degree_hours_below_comfort,random_forest,window_wall_orientation_north,0.0003260876904735133,tree_feature_importance
degree_hours_below_comfort,random_forest,window_wall_orientation_west,0.00032117880865520235,tree_feature_importance
degree_hours_below_comfort,random_forest,orientation_cardinal_west,0.0002874144445462757,tree_feature_importance
degree_hours_below_comfort,random_forest,window_wall_orientation_south,0.0002545907699303392,tree_feature_importance
degree_hours_below_comfort,random_forest,wall_material_stone,0.0002469044040810571,tree_feature_importance
degree_hours_below_comfort,random_forest,wall_material_brick_masonry,0.000242502810675704,tree_feature_importance
degree_hours_below_comfort,random_forest,door_area_m2,0.0,tree_feature_importance
degree_hours_below_comfort,random_forest,height_m,0.0,tree_feature_importance
degree_hours_below_comfort,random_forest,width_m,0.0,tree_feature_importance
degree_hours_below_comfort,random_forest,window_u_value_w_m2k,0.0,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,thermal_mass_heat_capacity_kj_k,0.5245984056954879,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,window_area_m2,0.11572330710685261,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,daily_solar_sum_wh_m2,0.059799334185941834,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,window_solar_heat_gain_coefficient,0.05792754285918823,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,roof_insulation_thickness_m,0.04938338262146365,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,thermal_mass_material_none,0.04925313382204754,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,floor_insulation_thickness_m,0.04644777205160196,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,wall_material_timber,0.022948627024232525,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,maximum_outdoor_temperature_c,0.016235650266306318,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,wall_insulation_thickness_m,0.014896587041433778,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,mean_outdoor_temperature_c,0.009516398573846873,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,net_wall_area_m2,0.008154757841516265,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,minimum_outdoor_temperature_c,0.007986010218017958,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,thermal_mass_material_stone,0.006350991986293847,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,length_m,0.004561499062860386,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,volume_m3,0.0016386158793243227,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,wall_material_concrete,0.001431021697327986,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,floor_area_m2,0.0007676602772739155,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,orientation_cardinal_west,0.0006083341182985294,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,window_wall_orientation_east,0.00041557303992515674,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,orientation_cardinal_east,0.0003965185353406185,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,orientation_cardinal_south,0.0002657718845535811,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,wall_material_brick_masonry,0.00022105185331643435,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,orientation_cardinal_north,0.00014770145598828186,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,thermal_mass_material_water,0.00010687746625373686,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,wall_material_stone,9.080631102918185e-05,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,wall_material_earth_adobe,6.317399944548885e-05,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,window_wall_orientation_south,3.823535663434867e-05,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,window_wall_orientation_north,2.5257768196673454e-05,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,door_area_m2,0.0,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,height_m,0.0,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,width_m,0.0,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,window_u_value_w_m2k,0.0,tree_feature_importance
indoor_temperature_range_c,gradient_boosting,window_wall_orientation_west,0.0,tree_feature_importance
indoor_temperature_range_c,random_forest,thermal_mass_heat_capacity_kj_k,0.5349019225034471,tree_feature_importance
indoor_temperature_range_c,random_forest,window_area_m2,0.11027514404341694,tree_feature_importance
indoor_temperature_range_c,random_forest,daily_solar_sum_wh_m2,0.07686972457054801,tree_feature_importance
indoor_temperature_range_c,random_forest,window_solar_heat_gain_coefficient,0.04967456470173878,tree_feature_importance
indoor_temperature_range_c,random_forest,roof_insulation_thickness_m,0.04737583212305542,tree_feature_importance
indoor_temperature_range_c,random_forest,floor_insulation_thickness_m,0.030162060719843294,tree_feature_importance
indoor_temperature_range_c,random_forest,wall_insulation_thickness_m,0.02968065173559407,tree_feature_importance
indoor_temperature_range_c,random_forest,wall_material_timber,0.027699555370709866,tree_feature_importance
indoor_temperature_range_c,random_forest,maximum_outdoor_temperature_c,0.013509252168745762,tree_feature_importance
indoor_temperature_range_c,random_forest,minimum_outdoor_temperature_c,0.013023875741887483,tree_feature_importance
indoor_temperature_range_c,random_forest,mean_outdoor_temperature_c,0.011881453642383773,tree_feature_importance
indoor_temperature_range_c,random_forest,thermal_mass_material_none,0.010299842617318013,tree_feature_importance
indoor_temperature_range_c,random_forest,net_wall_area_m2,0.007577622779650439,tree_feature_importance
indoor_temperature_range_c,random_forest,thermal_mass_material_stone,0.007323536822366279,tree_feature_importance
indoor_temperature_range_c,random_forest,length_m,0.004711304517612836,tree_feature_importance
indoor_temperature_range_c,random_forest,floor_area_m2,0.004257132178611159,tree_feature_importance
indoor_temperature_range_c,random_forest,volume_m3,0.004199694272576643,tree_feature_importance
indoor_temperature_range_c,random_forest,orientation_cardinal_east,0.0038864455853232895,tree_feature_importance
indoor_temperature_range_c,random_forest,window_wall_orientation_north,0.002963000625929043,tree_feature_importance
indoor_temperature_range_c,random_forest,window_wall_orientation_south,0.001991699833034735,tree_feature_importance
indoor_temperature_range_c,random_forest,window_wall_orientation_east,0.0012334876020250293,tree_feature_importance
indoor_temperature_range_c,random_forest,window_wall_orientation_west,0.0011447112593096743,tree_feature_importance
indoor_temperature_range_c,random_forest,wall_material_concrete,0.001008481866379359,tree_feature_importance
indoor_temperature_range_c,random_forest,wall_material_earth_adobe,0.0009839367861542215,tree_feature_importance
indoor_temperature_range_c,random_forest,orientation_cardinal_south,0.0008222910726038815,tree_feature_importance
indoor_temperature_range_c,random_forest,wall_material_stone,0.0007198832374132046,tree_feature_importance
indoor_temperature_range_c,random_forest,wall_material_brick_masonry,0.00066382327025545,tree_feature_importance
indoor_temperature_range_c,random_forest,orientation_cardinal_west,0.0006536733368414036,tree_feature_importance
indoor_temperature_range_c,random_forest,orientation_cardinal_north,0.00045925193253546165,tree_feature_importance
indoor_temperature_range_c,random_forest,thermal_mass_material_water,4.6143082689376595e-05,tree_feature_importance
indoor_temperature_range_c,random_forest,door_area_m2,0.0,tree_feature_importance
indoor_temperature_range_c,random_forest,height_m,0.0,tree_feature_importance
indoor_temperature_range_c,random_forest,width_m,0.0,tree_feature_importance
indoor_temperature_range_c,random_forest,window_u_value_w_m2k,0.0,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,maximum_outdoor_temperature_c,0.32996127762883526,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,mean_outdoor_temperature_c,0.26072024217936274,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,thermal_mass_heat_capacity_kj_k,0.11483045961631849,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,floor_insulation_thickness_m,0.07578692136972189,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,roof_insulation_thickness_m,0.05788213076715067,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,minimum_outdoor_temperature_c,0.048690310426194296,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,wall_insulation_thickness_m,0.03937269817035842,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,daily_solar_sum_wh_m2,0.022135599672926602,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,window_area_m2,0.021824657922293964,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,window_solar_heat_gain_coefficient,0.013660339292361441,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,wall_material_timber,0.009503739786945676,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,net_wall_area_m2,0.0026412633767117096,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,thermal_mass_material_none,0.0006601969117515824,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,floor_area_m2,0.0005339924411621756,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,length_m,0.00041479301268374576,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,volume_m3,0.000314515270744794,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,wall_material_stone,0.00027834333889457474,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,orientation_cardinal_south,0.00027099988669901604,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,window_wall_orientation_north,0.00016430588270204268,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,wall_material_concrete,0.00010025114079978703,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,thermal_mass_material_stone,6.534899868120117e-05,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,window_wall_orientation_south,5.146227983094316e-05,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,orientation_cardinal_east,4.907670741046458e-05,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,orientation_cardinal_north,4.2209175074623915e-05,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,window_wall_orientation_west,1.7989817372444055e-05,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,orientation_cardinal_west,1.3658356729812604e-05,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,window_wall_orientation_east,9.060674476791719e-06,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,wall_material_brick_masonry,4.155895804804334e-06,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,door_area_m2,0.0,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,height_m,0.0,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,thermal_mass_material_water,0.0,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,wall_material_earth_adobe,0.0,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,width_m,0.0,tree_feature_importance
mean_indoor_temperature_c,gradient_boosting,window_u_value_w_m2k,0.0,tree_feature_importance
mean_indoor_temperature_c,random_forest,mean_outdoor_temperature_c,0.21861765999008131,tree_feature_importance
mean_indoor_temperature_c,random_forest,maximum_outdoor_temperature_c,0.21724138701615553,tree_feature_importance
mean_indoor_temperature_c,random_forest,minimum_outdoor_temperature_c,0.19675193207578526,tree_feature_importance
mean_indoor_temperature_c,random_forest,thermal_mass_heat_capacity_kj_k,0.11700346245833723,tree_feature_importance
mean_indoor_temperature_c,random_forest,floor_insulation_thickness_m,0.07755109352874555,tree_feature_importance
mean_indoor_temperature_c,random_forest,roof_insulation_thickness_m,0.06182272366886423,tree_feature_importance
mean_indoor_temperature_c,random_forest,wall_insulation_thickness_m,0.03875791381384691,tree_feature_importance
mean_indoor_temperature_c,random_forest,daily_solar_sum_wh_m2,0.020563492610407703,tree_feature_importance
mean_indoor_temperature_c,random_forest,window_area_m2,0.016310575363249,tree_feature_importance
mean_indoor_temperature_c,random_forest,window_solar_heat_gain_coefficient,0.012028231535134064,tree_feature_importance
mean_indoor_temperature_c,random_forest,wall_material_timber,0.004915205956212845,tree_feature_importance
mean_indoor_temperature_c,random_forest,net_wall_area_m2,0.004785176004733745,tree_feature_importance
mean_indoor_temperature_c,random_forest,thermal_mass_material_none,0.0015774336693302746,tree_feature_importance
